PC1(0.62) PC2(0.31) 
-0.053217 -2.273506 
-0.238948 -2.423143 
0.057079 -2.126033 
-0.168279 -2.459079 
-0.453907 -2.270004 
-0.120954 -2.598268 
-0.153900 -2.197459 
0.235280 -2.272350 
0.407709 -2.074804 
0.189035 -2.125112 
0.350882 -2.294127 
-0.057788 -2.213023 
0.617133 -2.133474 
0.241222 -2.203469 
0.326482 -2.306308 
0.031580 -2.034558 
0.253312 -2.247684 
-0.035007 -2.195621 
0.059325 -2.094306 
0.153381 -2.091290 
0.404636 -1.939720 
0.365368 -2.109437 
0.423703 -1.885583 
0.171926 -2.248040 
0.149119 -2.205819 
0.181730 -1.884587 
-0.118105 -1.951379 
0.131786 -2.159275 
0.131029 -2.170716 
-0.134467 -2.252996 
-0.052554 -1.960663 
0.518539 -1.994895 
0.061948 -2.150977 
0.158535 -2.167908 
0.065281 -2.263591 
0.367366 -2.122038 
1.143103 -1.664600 
0.090379 -2.086892 
0.104548 -2.188393 
0.233524 -1.826643 
-0.048159 -1.987116 
0.270410 -2.222306 
-0.055619 -2.059873 
0.210655 -2.297951 
0.020865 -1.875293 
-0.181563 -2.687978 
0.627231 -2.327199 
0.877548 -2.017183 
0.076413 -1.971173 
0.451633 -2.054765 
0.015459 -2.017113 
0.978530 -1.805009 
0.096438 -2.354378 
-0.064077 -1.959443 
0.029207 -2.294820 
0.132980 -2.174775 
0.017046 -2.285670 
0.187398 -2.160789 
0.464250 -2.476918 
-0.054306 -1.918398 
0.189334 -2.210315 
0.042734 -1.995011 
0.119720 -2.203978 
0.699936 -1.873936 
-0.033785 -2.567737 
0.281559 -1.906293 
0.443166 -2.019462 
0.301317 -2.442742 
0.069842 -2.414325 
0.173364 -2.298733 
-0.127782 2.461178 
0.026571 2.508608 
0.351805 2.452048 
0.112473 2.382702 
-0.183544 2.253900 
-0.194481 1.784348 
0.448941 1.756825 
-0.092004 2.086710 
0.115371 2.043037 
0.324856 1.830135 
-0.062031 2.110360 
0.023832 1.885233 
-0.085482 2.160781 
-0.115847 2.176900 
0.003322 1.965711 
-0.099495 2.167151 
-0.230206 2.042080 
-0.117436 2.509765 
-0.054593 2.356558 
-0.322124 2.209938 
0.502674 1.870634 
0.159107 1.968438 
0.191416 1.760492 
-0.068601 2.259512 
0.069700 1.621477 
0.064795 2.074691 
-0.006342 1.728012 
-0.320590 2.013740 
0.048854 2.919145 
0.179883 2.292541 
1.133946 2.746217 
-0.087154 1.998144 
0.018421 2.169574 
-0.072182 2.255391 
-0.251988 2.730671 
-0.077905 2.438405 
-0.163395 2.261071 
0.237674 2.313953 
0.082952 2.002488 
0.057729 2.090761 
0.023628 2.060292 
0.220885 2.052806 
0.059795 1.952423 
0.284810 1.726060 
0.195704 1.271213 
-0.213443 2.195072 
0.296690 1.896188 
0.299103 2.393176 
0.578398 1.730402 
0.019774 1.809592 
0.280814 1.768709 
0.548641 2.005689 
0.044824 1.607117 
-0.428558 1.876488 
0.043383 1.509971 
0.288644 1.414108 
-0.082610 2.523079 
1.005311 3.044992 
-0.465352 2.262286 
-0.175925 2.205119 
-0.108706 2.155071 
-0.143016 1.583243 
-0.126437 2.025403 
0.251191 2.243945 
0.216974 1.701094 
0.089500 2.213254 
0.037658 1.867035 
0.047706 2.069370 
-0.185578 1.990940 
0.038381 2.066508 
0.108095 2.684170 
0.323259 2.482372 
0.131912 1.841770 
0.090660 2.436376 
-0.089085 1.810015 
-0.035848 2.079935 
-0.031513 2.327586 
0.212864 2.944483 
-0.107936 2.173732 
-0.224453 1.736795 
-0.140087 2.369719 
-0.821321 1.859503 
0.279160 1.918830 
-0.083258 2.104395 
0.175315 2.867084 
-0.048760 1.931132 
-0.054876 1.971699 
0.569864 1.900531 
0.509799 2.302711 
-0.277306 1.277844 
0.161616 1.913680 
-0.273465 1.755474 
0.053344 1.869973 
-0.260448 1.568125 
2.262516 1.324765 
3.318796 1.939214 
2.417372 -1.489889 
2.503351 -1.359992 
2.382557 -1.427736 
2.618752 -1.496379 
2.815872 -1.182900 
2.452842 -0.690841 
2.889198 -1.180421 
2.478255 0.732234 
3.003058 -1.688031 
2.584259 -1.463778 
2.932723 -1.795785 
3.573619 -1.508681 
3.571861 -1.501394 
2.865676 -1.791973 
2.976403 -1.557750 
3.509493 -1.080432 
3.090857 -1.721203 
3.498627 -1.411582 
3.460527 -1.674309 
2.884387 -1.836911 
2.760808 -1.934806 
2.907794 -1.744434 
2.821834 -1.916505 
2.725077 -1.855810 
3.345687 -1.755730 
3.370870 -1.679574 
2.693562 -1.726194 
3.160638 -1.388784 
2.597447 -1.933345 
3.082779 -1.461964 
3.138306 -1.881410 
3.179803 -1.375664 
3.457903 -1.620601 
2.745656 -1.844513 
4.140212 -1.120493 
3.633027 -1.455216 
2.996849 -1.869031 
2.815161 -1.927848 
3.442330 -1.524637 
2.604717 -2.004685 
2.649303 -1.650306 
4.950002 -0.709234 
2.789799 -1.309499 
3.062215 -1.719339 
3.450152 -1.640307 
3.139405 -1.565434 
3.020089 -1.684918 
3.203017 -1.847826 
3.012842 -1.722858 
3.014762 -1.627644 
3.271025 -1.558356 
4.666106 -0.968525 
3.129224 -1.667671 
2.815871 -1.473365 
2.449873 -1.649337 
4.047178 -0.538477 
3.807680 -0.925345 
3.200636 -1.270997 
2.875422 -1.612405 
3.646469 -1.565295 
2.565195 -1.384027 
2.785584 -1.912305 
2.787405 -1.817551 
3.083299 -1.901915 
3.385717 -1.298056 
3.888330 -1.320603 
3.271940 -1.483958 
3.536661 -1.661785 
3.505041 -1.640261 
3.050397 -1.662946 
3.649080 -1.232586 
4.926944 -0.530777 
4.827780 -0.923314 
4.776876 -0.049359 
3.022750 -1.844429 
3.219101 -1.249608 
3.231434 -1.526090 
3.353613 -1.752924 
3.323603 -1.445951 
3.265388 -1.542074 
3.571268 -1.433856 
-0.004191 -2.051591 
-0.112415 -2.326519 
0.375851 -2.014598 
0.176370 -2.155440 
-0.039325 -2.195233 
2.062767 -0.567367 
2.775038 -0.235289 
2.721161 0.483545 
1.647849 -0.825590 
2.622440 0.082589 
2.998217 0.477309 
1.613863 -0.677599 
3.236437 1.392339 
2.507180 0.045436 
1.850741 -0.752203 
2.468938 -0.355143 
1.778135 -0.569866 
2.868516 0.851324 
2.927777 0.288568 
3.065675 -0.071200 
3.332722 0.387196 
4.805751 1.211079 
5.122570 1.376029 
4.188523 0.851035 
2.299611 -0.244268 
4.529932 1.295120 
3.108777 0.094332 
1.640432 -0.655411 
3.314062 0.190685 
1.983721 -0.526589 
2.551127 -0.499304 
1.767883 -0.441694 
1.975848 -0.307821 
1.411836 -0.573231 
1.800607 -0.502081 
3.042037 -0.138390 
2.940403 0.095347 
3.173289 0.799605 
2.286208 -0.136652 
1.888294 -0.480213 
2.589440 -0.100684 
2.996689 0.058437 
3.067313 0.625564 
1.956354 -0.090749 
2.162011 -0.300843 
2.326028 -0.311721 
2.244258 -0.190558 
2.545019 -0.269080 
2.608640 0.342271 
2.055315 -0.524177 
2.445455 -0.406831 
2.586358 0.062277 
3.428592 1.267094 
2.447509 -0.448304 
2.480420 -0.179104 
4.603279 1.023172 
2.871540 0.264172 
1.706393 -0.643012 
2.158179 -0.279772 
2.637167 -0.250941 
2.716151 0.221768 
2.542297 -0.049561 
1.711760 -0.506952 
2.278275 -0.315103 
1.764586 -0.484765 
2.169576 -0.418512 
2.105411 -0.541176 
2.246529 -0.048203 
2.316728 -0.353952 
1.633717 -0.702228 
2.121617 -0.283274 
2.433406 -0.229260 
2.017556 -0.226893 
3.247246 0.434457 
3.843960 0.487539 
2.699605 -0.137797 
1.625588 -0.400930 
2.372289 -0.623181 
2.704634 0.549316 
1.914739 -0.194304 
2.334986 0.032636 
1.174597 1.014497 
1.661665 -0.494081 
3.860675 0.633247 
4.855579 2.174977 
5.178391 1.541759 
4.355088 1.508969 
4.122108 1.283093 
2.245092 0.054146 
2.526611 -0.377397 
2.894255 0.291489 
2.456060 0.353121 
2.211822 -0.200958 
3.072706 0.079257 
2.793359 0.088818 
2.155939 -0.140412 
2.684954 0.045322 
2.185065 1.140745 
2.276524 -0.482102 
1.578312 -0.334266 
2.014841 -0.652519 
1.885679 -0.422415 
1.956901 -0.735523 
2.545677 0.300307 
-2.428462 -0.330954 
-2.227981 -0.577151 
-2.509482 -0.283487 
-2.497826 -0.134829 
-2.310632 -0.666163 
-2.420127 0.143704 
-2.567581 -0.055717 
-2.574541 0.549732 
-2.183467 -0.106702 
-2.341648 0.428313 
-2.344941 -0.302423 
-2.054959 -0.401589 
-2.363850 -0.538824 
-1.853133 -0.102377 
-2.512778 0.231789 
-1.480467 -0.370086 
-2.171791 -0.382702 
-2.591147 0.113647 
-1.853840 -0.650673 
-1.219262 0.050115 
-2.018840 -0.326170 
-2.111898 -0.035813 
-2.530380 0.328947 
-2.186922 -0.323884 
-2.142835 0.486980 
-2.106954 -0.214141 
-2.406133 0.134055 
-2.175993 -0.101713 
-2.274695 -0.568294 
-2.203280 -0.729694 
-2.451708 0.429968 
-2.441596 -0.659393 
-2.485392 -0.324384 
-2.686167 -0.224342 
-2.260035 -0.712613 
-2.122776 -0.125007 
-2.355173 -0.570635 
-2.572292 0.303953 
-2.581164 -0.453800 
-2.412488 -0.373520 
-2.028586 -0.072415 
-2.391738 -0.453908 
-2.110131 0.663146 
-1.685813 0.021192 
-2.136960 -0.543678 
-2.653802 0.087715 
-2.229165 0.513767 
-2.261804 -0.032292 
-2.434484 -0.540000 
-2.038082 0.251290 
-1.961676 -0.032117 
-2.156915 -0.310522 
-2.287841 -0.224081 
-2.299488 -0.062468 
-2.081937 -0.174206 
-1.793314 0.036773 
-2.043588 -0.677610 
-2.446412 -0.443267 
-2.290856 -0.641412 
-2.340904 0.107698 
-2.443259 0.065228 
-2.604812 0.388177 
-2.322955 -0.517121 
-2.285232 0.557962 
-2.653054 0.152291 
-2.470844 0.183272 
-2.335629 -0.089153 
-2.484470 0.164806 
-2.293989 -0.467763 
-2.379268 -0.324062 
-2.228597 -0.182769 
-2.074970 -0.730758 
-2.695884 0.003156 
-2.321698 -0.193108 
-1.825540 -1.016250 
-2.221429 -1.065418 
-2.185681 -0.834185 
-1.082703 -0.904414 
-2.439885 -0.445532 
-1.110551 -0.417104 
-2.357689 -0.904333 
-1.652586 -0.465127 
-1.301872 -0.188416 
-1.602276 -0.901231 
-1.520737 -0.164131 
-1.981338 -0.923133 
-1.142480 -0.798637 
-2.210554 -0.446349 
-2.048437 -0.437124 
-1.920603 0.211344 
-1.778152 0.277462 
-1.801210 -0.153430 
-2.058201 0.327939 
-1.787374 0.460166 
-1.734125 0.242978 
0.314704 0.004924 
-0.261522 -0.911230 
0.668554 -0.058380 
-0.715779 0.776630 
-0.626505 -0.467658 
-0.888225 -0.811050 
-1.004671 -0.399018 
-0.598310 -0.852969 
-0.476318 -0.539097 
-0.231233 0.584218 
-1.002807 -0.696297 
-1.571121 0.586066 
-1.006560 0.036083 
-0.208552 0.141792 
-0.849782 0.375226 
-0.727768 0.674432 
-0.977232 0.252988 
-0.454281 1.258204 
-0.615760 0.287939 
-0.450318 0.263657 
-0.511209 0.352415 
-0.722765 0.801043 
-0.574019 -0.424585 
-0.154619 0.623999 
0.215837 0.095405 
-0.439401 0.399473 
-0.837339 0.606097 
-0.266320 -0.362463 
-0.582398 1.204707 
-0.573541 0.665551 
-0.808013 0.702734 
-0.540902 0.035204 
-0.319040 -0.052618 
-0.278345 0.519878 
-0.732098 0.753000 
-0.638445 0.645912 
-0.534050 0.341232 
-0.789742 0.538073 
-0.615456 0.261760 
-0.463493 0.195536 
-0.269924 0.896438 
0.391431 1.065004 
-0.990586 1.067734 
-0.384985 0.430991 
-0.355350 1.126092 
-0.220508 0.783162 
-0.582416 0.525438 
-0.199380 0.471126 
-0.205081 0.555172 
-0.408393 0.616190 
-0.429761 0.259441 
-0.235268 0.273932 
-0.418376 0.705078 
-0.274897 0.307920 
-0.677279 0.025547 
-0.560841 0.608994 
-0.406761 -0.216128 
-0.625877 0.958524 
-0.872598 0.273416 
-0.469495 -0.081650 
-0.631152 0.949282 
-0.781168 0.778436 
-0.275453 0.608827 
-0.727262 0.965831 
-0.898628 0.411362 
0.514062 -0.034308 
-0.665229 -0.072097 
-0.259942 -0.085006 
-0.497565 -0.150058 
-0.585532 -0.116369 
0.227755 0.664844 
-0.136020 0.162252 
-0.157203 0.684836 
-0.460031 0.370796 
-0.378393 0.067683 
-0.800337 0.113248 
-0.860007 0.275269 
-0.815847 -0.045997 
0.008696 -0.204287 
-0.564852 0.129564 
-0.636479 0.025882 
-0.586133 -0.023482 
-0.596110 0.654895 
-0.542336 1.532621 
-0.072480 0.270929 
-0.325075 0.173550 
-0.353622 -0.069660 
-0.352623 -0.407460 
-0.405788 -0.087927 
-0.612513 -0.146532 
-0.199363 -0.425861 
0.066776 -0.115176 
-0.254790 -0.279656 
-0.709401 -0.253434 
-0.307240 -0.254366 
-0.827254 0.549934 
-0.518112 -0.357276 
0.214448 0.609872 
-0.437848 0.141765 
-0.530098 0.196125 
-1.830286 -0.915701 
-2.409872 0.044230 
-1.589857 -1.820153 
-1.714033 -1.290059 
-0.596440 -1.861028 
-1.708782 -1.991548 
-1.744635 -1.611280 
-1.237154 -1.990379 
-1.173543 -2.023372 
1.527770 -0.136545 
0.551586 -0.728955 
1.442118 -0.477618 
1.856937 -0.510401 
1.487993 -0.358682 
0.200661 -0.817738 
0.700819 -0.689774 
0.965460 -0.469215 
0.449000 -0.572691 
0.900215 -0.312661 
0.707421 -0.612445 
0.675613 -0.826907 
1.205817 -0.219264 
0.584040 -0.838943 
0.589950 -0.980190 
0.391025 -0.756139 
0.404961 -0.556265 
0.409203 -0.969373 
0.531051 -0.673029 
0.687204 -0.857651 
0.584160 -0.855679 
0.796574 -0.644118 
0.667713 -0.622601 
0.710598 -0.755313 
0.628272 -0.493499 
0.501178 -0.386399 
0.466261 -0.912916 
0.529102 -0.250021 
0.575946 -0.587154 
0.686287 -0.661068 
1.612944 0.281819 
0.599714 -0.783704 
0.707613 -0.227752 
0.830711 -0.109635 
0.541730 -0.828113 
0.899885 -0.647279 
0.537010 -0.330565 
0.493378 -0.650844 
0.631595 -0.541709 
0.663770 -0.940897 
0.655292 -0.578061 
0.858627 -0.326643 
0.567298 -0.611747 
0.734462 -0.414903 
0.861365 -0.593711 
0.740384 -0.434883 
0.693643 -0.741009 
0.801538 -0.772387 
0.864321 -0.207939 
0.686043 -0.816893 
0.371111 -0.564777 
0.443354 -0.792967 
0.644175 -0.456339 
0.920886 -0.520267 
0.414094 -0.615452 
0.658268 -0.359117 
0.486721 -0.510883 
0.819692 -0.663744 
0.667651 -0.757072 
0.724948 -0.530898 
0.673974 -0.500754 
0.695271 -0.554938 
0.496982 -0.687815 
0.800554 -0.598999 
0.466475 -0.810132 
0.540245 -0.601783 
0.611229 -0.574841 
0.781821 -0.402499 
1.129463 -0.534307 
0.710769 -0.552280 
0.687450 -0.652421 
1.525224 0.075775 
0.399896 -0.765332 
0.389427 -0.766341 
0.626937 -0.559008 
0.573788 -0.662408 
0.758954 -0.589404 
0.744568 -0.391517 
0.283046 -0.522001 
0.746651 -0.659645 
0.411350 -0.602107 
0.689579 -0.778314 
-1.239762 2.075669 
-0.337781 0.745688 
-0.715695 0.980028 
-0.535191 0.791336 
-1.039333 0.929266 
-0.354309 0.150459 
-0.601692 0.664130 
-0.776794 0.715703 
-0.660384 0.456469 
-0.400319 -0.007810 
-0.477423 -0.068602 
